country,year,n_forecasts,mean_pct_error,median_pct_error,iqr_pct_error,mae,bias
Ethiopia,2020,12,-2.22,0.0,40.0,1250000.0,-416666.67
Ethiopia,2021,12,-12.02,-14.28,28.57,1562500.0,-1145833.33
Ethiopia,2022,12,4.4,0.0,0.0,833333.33,208333.33
Ethiopia,2023,12,-13.28,0.0,31.13,417229166.62,-416479166.62
Ethiopia,2024,11,-9.57,-5.71,20.12,1454545.45,-1454545.45
Haiti,2020,12,-14.76,0.0,14.28,158333.33,-158333.33
Haiti,2021,12,-19.05,0.0,57.14,333333.33,-333333.33
Haiti,2022,12,-9.52,0.0,0.0,166666.67,-166666.67
Haiti,2023,12,13.1,0.0,0.0,229166.67,229166.67
Haiti,2024,11,-12.12,-22.22,22.22,272727.27,-272727.27
Mali,2020,12,-33.65,-28.57,60.0,237500.0,-237500.0
Mali,2021,12,0.0,0.0,0.0,0.0,0.0
Mali,2022,12,-19.52,0.0,57.14,241666.67,-241666.67
Mali,2023,12,11.67,10.0,40.0,225000.0,150000.0
Mali,2024,11,16.02,0.0,21.43,79545.45,79545.45
Niger,2020,12,-23.73,0.0,46.15,384615.38,-384615.38
Niger,2021,12,35.52,57.14,114.29,733333.33,733333.33
Niger,2022,12,-8.89,0.0,0.0,166666.67,-166666.67
Niger,2023,12,-0.15,0.0,0.0,62500.0,-62500.0
Niger,2024,11,-9.63,-9.09,18.18,227272.73,-227272.73
Somalia,2020,12,1.91,0.0,0.0,183333.33,183333.33
Somalia,2021,12,14.6,0.0,66.67,416666.67,416666.67
Somalia,2022,12,-20.0,0.0,0.0,1000000.0,-1000000.0
Somalia,2023,12,16.75,0.0,66.67,2312500.0,2312500.0
Somalia,2024,11,-4.26,0.0,0.0,1000000.0,-1000000.0
Sudan,2020,12,-6.67,0.0,0.0,833333.33,-833333.33
Sudan,2021,12,-3.33,0.0,0.0,416666.67,-416666.67
Sudan,2022,12,0.0,0.0,0.0,0.0,0.0
Sudan,2023,12,-17.25,0.0,0.0,2150000.0,-2150000.0
Sudan,2024,11,-25.56,-22.22,44.44,2727272.73,-2727272.73
