mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
9.318326711654663,0.0,0.00807952880859375,0.0,0.7,0.01,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-1147873.5174418604,-1147873.5174418604,0.0,37
8.787269115447998,0.0,0.00805354118347168,0.0,0.7,0.01,3,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1162886.8023255814,-1162886.8023255814,0.0,45
7.6729981899261475,0.0,0.007108211517333984,0.0,0.7,0.01,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1171088.4709302327,-1171088.4709302327,0.0,53
9.350818872451782,0.0,0.02954578399658203,0.0,0.7,0.01,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-1009986.8662790698,-1009986.8662790698,0.0,4
9.054455757141113,0.0,0.01026296615600586,0.0,0.7,0.01,3,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1049256.308139535,-1049256.308139535,0.0,8
9.353174448013306,0.0,0.0077440738677978516,0.0,0.7,0.01,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1086383.7093023255,-1086383.7093023255,0.0,17
9.18250060081482,0.0,0.007571220397949219,0.0,0.7,0.01,3,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",-1123821.2732558139,-1123821.2732558139,0.0,30
9.101794242858887,0.0,0.0386044979095459,0.0,0.7,0.01,3,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-1142790.3313953488,-1142790.3313953488,0.0,35
8.991106033325195,0.0,0.009467840194702148,0.0,0.7,0.01,3,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-1179280.5174418604,-1179280.5174418604,0.0,58
9.016398906707764,0.0,0.030748605728149414,0.0,0.7,0.01,4,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.7}",-1122970.2558139535,-1122970.2558139535,0.0,27
9.365651607513428,0.0,0.009911775588989258,0.0,0.7,0.01,4,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",-1119013.9825581396,-1119013.9825581396,0.0,25
7.744761228561401,0.0,0.004996776580810547,0.0,0.7,0.01,4,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",-1121914.2732558139,-1121914.2732558139,0.0,26
9.091508150100708,0.0,0.007052421569824219,0.0,0.7,0.01,4,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}",-998053.023255814,-998053.023255814,0.0,2
